FEATURE_NAME,SOURCE_NOTEBOOK,PROVENANCE,CLINICAL_RATIONALE,RISK_RATIO,FINAL_STATUS,REMOVAL_REASON
# ===========================================
# VITALS FEATURES (Book 1) - 24 features
# ===========================================
HAS_RAPID_WEIGHT_LOSS,Book1_Vitals,EDA,"Rapid weight loss (>5% in 60 days) shows 3.6x CRC risk elevation",3.6,KEPT,
MAX_WEIGHT_LOSS_PCT_60D,Book1_Vitals,EDA,Quantitative measure of maximum weight loss in 60-day window,,KEPT,
WEIGHT_LOSS_FLAG_6M,Book1_Vitals,EDA,Weight loss detected over 6-month comparison window,,KEPT,
WEIGHT_LOSS_FLAG_12M,Book1_Vitals,EDA,Weight loss detected over 12-month comparison window,,KEPT,
WEIGHT_CACHEXIA_INDICATOR,Book1_Vitals,Literature,Low BMI combined with weight loss suggests advanced disease,,KEPT,
BMI_CATEGORY,Book1_Vitals,EDA,Clinical BMI categories (underweight/normal/overweight/obese),,KEPT,
WEIGHT_QUARTILE,Book1_Vitals,EDA,Weight distribution quartile (anti-memorization transformed),,KEPT,
BP_SYSTOLIC_LATEST,Book1_Vitals,EDA,Most recent systolic blood pressure,,KEPT,
BP_DIASTOLIC_LATEST,Book1_Vitals,EDA,Most recent diastolic blood pressure,,KEPT,
HAS_HYPERTENSION_FLAG,Book1_Vitals,Literature,Evidence-based hypertension threshold,,KEPT,
PULSE_LATEST,Book1_Vitals,EDA,Most recent pulse measurement,,KEPT,
HAS_TACHYCARDIA_FLAG,Book1_Vitals,Literature,Elevated heart rate indicator,,KEPT,
TEMP_LATEST,Book1_Vitals,EDA,Most recent temperature measurement,,KEPT,
HAS_FEVER_FLAG,Book1_Vitals,Literature,Fever indicator (>100.4F),,KEPT,
RESP_RATE_LATEST,Book1_Vitals,EDA,Most recent respiratory rate,,KEPT,
VITALS_RECENCY,Book1_Vitals,EDA,Days since last vital signs (ordinal binned),,KEPT,
WEIGHT_TREND_6M,Book1_Vitals,EDA,Weight trajectory over 6 months,,KEPT,
WEIGHT_TREND_12M,Book1_Vitals,EDA,Weight trajectory over 12 months,,KEPT,
AGE_GROUP,Book1_Vitals,Literature,Age group categories (45-49/50-54/55-64/65-74/75+),,KEPT,
IS_FEMALE,Book0_Cohort,Demographics,Sex indicator,,KEPT,
